Date,P30:credit/compress,P30:credit/mild,P30:credit/severe,P30:interest_rate/bear_steepen,P30:interest_rate/bull_flatten,P30:liquidity/stress,P90:credit/compress,P90:credit/mild,P90:credit/severe,P90:interest_rate/bear_steepen,P90:interest_rate/bull_flatten,P90:liquidity/stress
2005-07-01,0.079484,0.117086,0.027411,0.028391,0.136248,0.030501,0.220000,0.311736,0.080000,0.082777,0.355582,0.088741
2005-07-05,0.079484,0.109707,0.027411,0.029956,0.127404,0.032770,0.220000,0.294335,0.080000,0.087203,0.335584,0.095123
2005-07-06,0.079484,0.116770,0.027411,0.029653,0.129027,0.032327,0.220000,0.310997,0.080000,0.086347,0.339284,0.093880
2005-07-07,0.079484,0.114806,0.027411,0.031872,0.118022,0.035604,0.220000,0.306390,0.080000,0.092601,0.313921,0.103054
2005-07-08,0.079484,0.106442,0.027411,0.031487,0.119793,0.035030,0.220000,0.286542,0.080000,0.091519,0.318047,0.101452
2005-07-11,0.079484,0.098542,0.027411,0.029883,0.127792,0.032663,0.220000,0.267451,0.080000,0.086996,0.336471,0.094823
2005-07-12,0.080084,0.090683,0.027411,0.032075,0.117109,0.035907,0.221524,0.248124,0.080000,0.093171,0.311789,0.103900
2005-07-13,0.081556,0.088880,0.027411,0.032332,0.115972,0.036293,0.225256,0.243643,0.080000,0.093893,0.309126,0.104975
2005-07-14,0.086879,0.082945,0.027411,0.032582,0.114886,0.036669,0.238649,0.228766,0.080000,0.094595,0.306577,0.106024
2005-07-15,0.088474,0.081325,0.027411,0.032174,0.116669,0.036055,0.242631,0.224673,0.080000,0.093448,0.310760,0.104313
2005-07-18,0.093141,0.076948,0.027411,0.033078,0.112791,0.037419,0.254206,0.213536,0.080000,0.095987,0.301642,0.108108
2005-07-19,0.091358,0.078560,0.027411,0.032651,0.114587,0.036774,0.249797,0.217651,0.080000,0.094790,0.305875,0.106315
2005-07-20,0.091311,0.078604,0.027411,0.029795,0.128262,0.032534,0.249681,0.217762,0.080000,0.086748,0.337543,0.094462
2005-07-21,0.098647,0.072385,0.027411,0.033194,0.112309,0.037596,0.267708,0.201815,0.080000,0.096314,0.300503,0.108600
2005-07-22,0.096706,0.073927,0.027411,0.032767,0.114094,0.036949,0.262965,0.205788,0.080000,0.095115,0.304715,0.106801
2005-07-25,0.101907,0.069945,0.027411,0.032357,0.115862,0.036331,0.275624,0.195500,0.080000,0.093963,0.308869,0.105080
2005-07-26,0.102460,0.069548,0.027411,0.031963,0.117610,0.035740,0.276962,0.194470,0.080000,0.092857,0.312960,0.103434
